,col1,col2,distance,num
146,60.0,279.0,0.30870852818546984,4.0
147,293.0,324.0,0.33840948012953287,10.0
148,130.0,333.0,0.3718222605088573,6.0
149,312.0,338.0,0.39419772496440686,8.0
150,79.0,319.0,0.4107258923586766,3.0
151,303.0,340.0,0.4166789295595911,14.0
152,164.0,341.0,0.5284066103199261,5.0
153,339.0,352.0,0.5309843018013981,7.0
154,296.0,344.0,0.576050205030149,11.0
155,351.0,356.0,0.584026026566667,9.0
156,336.0,343.0,0.6105650632775007,12.0
157,268.0,320.0,0.6142128681057852,5.0
158,300.0,330.0,0.6962360410741397,4.0
159,139.0,272.0,0.8421381675826816,4.0
160,342.0,353.0,0.8862232640572257,10.0
161,325.0,355.0,0.9096654002011088,15.0
162,37.0,298.0,0.9285888387169046,4.0
163,294.0,362.0,0.9875746619100013,13.0
164,347.0,354.0,1.0434168807728854,6.0
165,314.0,361.0,1.1104618517735605,10.0
166,345.0,357.0,1.1344803675850899,14.0
167,321.0,365.0,1.263377373326733,9.0
168,332.0,349.0,1.323440421250264,8.0
169,313.0,327.0,1.3371994274932915,11.0
170,335.0,337.0,1.4181389950499999,8.0
171,50.0,64.0,2.6720665933571444,2.0
172,172.0,364.0,2.7783802584772617,13.0
173,146.0,368.0,3.0132435799492994,11.0
174,12.0,373.0,3.207526114845303,11.0
175,157.0,366.0,3.2109609880747483,5.0
176,169.0,380.0,3.2871096577168495,14.0
177,9.0,328.0,3.5539529665516847,4.0
178,162.0,346.0,3.7742099902827864,12.0
179,133.0,381.0,3.8054738858679626,12.0
180,203.0,382.0,4.020381691788187,12.0
181,101.0,363.0,4.02293513172582,10.0
182,163.0,350.0,4.26580915863671,3.0
183,222.0,390.0,4.550355980024984,5.0
184,348.0,391.0,5.426504649067688,9.0
185,358.0,387.0,5.535122510316774,15.0
186,379.0,386.0,5.738527130890935,14.0
187,370.0,392.0,6.330199968839717,13.0
188,367.0,395.0,6.561739191003082,17.0
189,383.0,396.0,7.319592286758303,22.0
190,385.0,397.0,7.982119808928709,26.0
191,360.0,398.0,8.45417842560601,31.0
192,372.0,399.0,9.046621525569504,37.0
